	eco	name	fen	moves	pgn
28	D00	Blackmar-Diemer Gambit: Rook Pawn Defense	rnbqkb1r/ppp1ppp1/5n2/7p/3P4/2N2N2/PPP3PP/R1BQKB1R w KQkq -	d2d4 d7d5 e2e4 d5e4 b1c3 g8f6 f2f3 e4f3 g1f3 h7h5	1. d2 d4 2. d7 d5 3. e2 e4 4. d5 e4 5. b1 c3 6. g8 f6 7. f2 f3 8. e4 f3 9. g1 f3 10. h7 h5 
29	D00	Blackmar-Diemer Gambit: Ryder Gambit	rnbqkb1r/ppp1pppp/5n2/8/3P4/2N2Q2/PPP3PP/R1B1KBNR b KQkq -	d2d4 d7d5 e2e4 d5e4 b1c3 g8f6 f2f3 e4f3 d1f3	1. d2 d4 2. d7 d5 3. e2 e4 4. d5 e4 5. b1 c3 6. g8 f6 7. f2 f3 8. e4 f3 9. d1 f3 
30	D00	Blackmar-Diemer Gambit: Schlutter Defense	r1bqkb1r/pppnpppp/5n2/8/3P4/2N2N2/PPP3PP/R1BQKB1R w KQkq -	d2d4 d7d5 e2e4 d5e4 b1c3 g8f6 f2f3 e4f3 g1f3 b8d7	1. d2 d4 2. d7 d5 3. e2 e4 4. d5 e4 5. b1 c3 6. g8 f6 7. f2 f3 8. e4 f3 9. g1 f3 10. b8 d7 
31	D00	Blackmar-Diemer Gambit: Tartakower Variation	rn1qkb1r/ppp1pppp/5n2/5b2/3P4/2N2N2/PPP3PP/R1BQKB1R w KQkq -	e2e4 d7d5 d2d4 d5e4 b1c3 g8f6 f2f3 e4f3 g1f3 c8f5	1. e2 e4 2. d7 d5 3. d2 d4 4. d5 e4 5. b1 c3 6. g8 f6 7. f2 f3 8. e4 f3 9. g1 f3 10. c8 f5 
32	D00	Blackmar-Diemer Gambit: Teichmann Variation	rn1qkb1r/ppp1pppp/5n2/8/3P2b1/2N2N2/PPP3PP/R1BQKB1R w KQkq -	e2e4 d7d5 d2d4 d5e4 b1c3 g8f6 f2f3 e4f3 g1f3 c8g4	1. e2 e4 2. d7 d5 3. d2 d4 4. d5 e4 5. b1 c3 6. g8 f6 7. f2 f3 8. e4 f3 9. g1 f3 10. c8 g4 
33	D00	Blackmar-Diemer Gambit: Vienna Variation	rn1qkb1r/ppp1pppp/5n2/5b2/3Pp3/2N2P2/PPP3PP/R1BQKBNR w KQkq -	d2d4 g8f6 b1c3 d7d5 e2e4 d5e4 f2f3 c8f5	1. d2 d4 2. g8 f6 3. b1 c3 4. d7 d5 5. e2 e4 6. d5 e4 7. f2 f3 8. c8 f5 
34	D00	Blackmar-Diemer Gambit: von Popiel Gambit	rnbqkb1r/ppp1pppp/5n2/6B1/3Pp3/2N5/PPP2PPP/R2QKBNR b KQkq -	d2d4 d7d5 e2e4 d5e4 b1c3 g8f6 c1g5	1. d2 d4 2. d7 d5 3. e2 e4 4. d5 e4 5. b1 c3 6. g8 f6 7. c1 g5 
35	D00	Blackmar-Diemer Gambit: von Popiel Gambit, Zilbermints Variation	rn1qk2r/ppp2ppp/5pb1/1Q6/1b1Pp1P1/2N5/PPP2P1P/R3KBNR b KQkq -	d2d4 d7d5 e2e4 d5e4 b1c3 g8f6 c1g5 c8f5 g5f6 e7f6 g2g4 f5g6 d1e2 f8b4 e2b5	1. d2 d4 2. d7 d5 3. e2 e4 4. d5 e4 5. b1 c3 6. g8 f6 7. c1 g5 8. c8 f5 9. g5 f6 10. e7 f6 11. g2 g4 12. f5 g6 13. d1 e2 14. f8 b4 15. e2 b5 
36	D00	Blackmar-Diemer Gambit: Zeller Defense	rn1qkbnr/ppp1pppp/8/5b2/3Pp3/2N5/PPP2PPP/R1BQKBNR w KQkq -	d2d4 d7d5 e2e4 d5e4 b1c3 c8f5	1. d2 d4 2. d7 d5 3. e2 e4 4. d5 e4 5. b1 c3 6. c8 f5 
37	D00	Blackmar-Diemer Gambit: Zeller Defense, Soller Attack	rn1qkb1r/ppp1pppp/5n2/5b2/2BPp3/2N2P2/PPP3PP/R1BQK1NR b KQkq -	d2d4 d7d5 e2e4 d5e4 b1c3 c8f5 f2f3 g8f6 f1c4	1. d2 d4 2. d7 d5 3. e2 e4 4. d5 e4 5. b1 c3 6. c8 f5 7. f2 f3 8. g8 f6 9. f1 c4 
38	D00	Blackmar-Diemer Gambit: Ziegler Defense	rnbqkb1r/pp2pppp/2p2n2/8/3P4/2N2N2/PPP3PP/R1BQKB1R w KQkq -	d2d4 d7d5 e2e4 d5e4 b1c3 g8f6 f2f3 e4f3 g1f3 c7c6	1. d2 d4 2. d7 d5 3. e2 e4 4. d5 e4 5. b1 c3 6. g8 f6 7. f2 f3 8. e4 f3 9. g1 f3 10. c7 c6 
39	D00	Blackmar-Diemer, Lemberger Countergambit	rnbqkb1r/ppp2ppp/5n2/3pp3/3PP3/2N5/PPP2PPP/R1BQKBNR w KQkq -	d2d4 d7d5 b1c3 g8f6 e2e4 e7e5	1. d2 d4 2. d7 d5 3. b1 c3 4. g8 f6 5. e2 e4 6. e7 e5 
40	D00	Queen's Pawn Game: Chigorin Variation	rnbqkbnr/ppp1pppp/8/3p4/3P4/2N5/PPP1PPPP/R1BQKBNR b KQkq -	d2d4 d7d5 b1c3	1. d2 d4 2. d7 d5 3. b1 c3 
41	D00	Queen's Pawn Game: Hübsch Gambit	rnbqkb1r/ppp1pppp/8/3p4/3Pn3/2N5/PPP2PPP/R1BQKBNR w KQkq -	d2d4 g8f6 b1c3 d7d5 e2e4 f6e4	1. d2 d4 2. g8 f6 3. b1 c3 4. d7 d5 5. e2 e4 6. f6 e4 
42	D00	Queen's Pawn Game: Levitsky Attack	rnbqkbnr/ppp1pppp/8/3p2B1/3P4/8/PPP1PPPP/RN1QKBNR b KQkq -	d2d4 d7d5 c1g5	1. d2 d4 2. d7 d5 3. c1 g5 
43	D00	Queen's Pawn Game: Levitsky Attack, Welling Variation	rn1qkbnr/ppp1pppp/8/3p2B1/3P2b1/8/PPP1PPPP/RN1QKBNR w KQkq -	d2d4 d7d5 c1g5 c8g4	1. d2 d4 2. d7 d5 3. c1 g5 4. c8 g4 
44	D00	Queen's Pawn Game: Mason Attack	rnbqkbnr/ppp1pppp/8/3p4/3P1B2/8/PPP1PPPP/RN1QKBNR b KQkq -	d2d4 d7d5 c1f4	1. d2 d4 2. d7 d5 3. c1 f4 
45	D00	Queen's Pawn Game: Morris Countergambit	rnbqkbnr/pp2pppp/8/2pp4/3PPB2/8/PPP2PPP/RN1QKBNR b KQkq -	d2d4 d7d5 c1f4 c7c5 e2e4	1. d2 d4 2. d7 d5 3. c1 f4 4. c7 c5 5. e2 e4 
46	D00	Queen's Pawn Game	rnbqkb1r/ppp1pppp/5n2/3p4/3P4/4P3/PPP2PPP/RNBQKBNR w KQkq -	d2d4 d7d5 e2e3 g8f6	1. d2 d4 2. d7 d5 3. e2 e3 4. g8 f6 
47	D00	Queen's Pawn Game	rnbqkbnr/ppp1pppp/8/3p4/3P4/4P3/PPP2PPP/RNBQKBNR b KQkq -	d2d4 d7d5 e2e3	1. d2 d4 2. d7 d5 3. e2 e3 
48	D00	Queen's Pawn Game	rnbqkbnr/ppp1pppp/8/3p4/3P4/8/PPP1PPPP/RNBQKBNR w KQkq -	d2d4 d7d5	1. d2 d4 2. d7 d5 
49	D00	Queen's Pawn Game: Steinitz Countergambit	rnbqkbnr/pp2pppp/8/2pp4/3P1B2/8/PPP1PPPP/RN1QKBNR w KQkq -	d2d4 d7d5 c1f4 c7c5	1. d2 d4 2. d7 d5 3. c1 f4 4. c7 c5 
50	D00	Queen's Pawn Game: Stonewall Attack	rnbqkb1r/ppp1pppp/5n2/3p4/3P4/3BP3/PPP2PPP/RNBQK1NR b KQkq -	d2d4 d7d5 e2e3 g8f6 f1d3	1. d2 d4 2. d7 d5 3. e2 e3 4. g8 f6 5. f1 d3 
51	D00	Queen's Pawn Game: Veresov Attack, Alburt Defense	rn1qkbnr/ppp1pppp/8/3p1b2/3P4/2N5/PPP1PPPP/R1BQKBNR w KQkq -	d2d4 d7d5 b1c3 c8f5	1. d2 d4 2. d7 d5 3. b1 c3 4. c8 f5 
52	D00	Queen's Pawn Game: Veresov Attack, Anti-Veresov	rn1qkbnr/ppp1pppp/8/3p4/3P2b1/2N5/PPP1PPPP/R1BQKBNR w KQkq -	d2d4 d7d5 b1c3 c8g4	1. d2 d4 2. d7 d5 3. b1 c3 4. c8 g4 
53	D00	Queen's Pawn Game: Veresov Attack, Shaviliuk Gambit	rnbqkbnr/ppp2ppp/8/3pp3/3P4/2N5/PPP1PPPP/R1BQKBNR w KQkq -	d2d4 d7d5 b1c3 e7e5	1. d2 d4 2. d7 d5 3. b1 c3 4. e7 e5 
54	D00	Queen's Pawn Game: Veresov Attack, Shropshire Defense	rnbqkbnr/ppp1ppp1/8/3p3p/3P4/2N5/PPP1PPPP/R1BQKBNR w KQkq -	d2d4 d7d5 b1c3 h7h5	1. d2 d4 2. d7 d5 3. b1 c3 4. h7 h5 
55	D00	Queen's Pawn Game: Zurich Gambit	rnbqkbnr/ppp1pppp/8/3p4/3P2P1/8/PPP1PP1P/RNBQKBNR b KQkq -	d2d4 d7d5 g2g4	1. d2 d4 2. d7 d5 3. g2 g4 
56	D00	Queen's Pawn Opening: Veresov Attack, Irish Gambit	rnbqkbnr/pp2pppp/8/2pp4/3P4/2N5/PPP1PPPP/R1BQKBNR w KQkq -	d2d4 d7d5 b1c3 c7c5	1. d2 d4 2. d7 d5 3. b1 c3 4. c7 c5 
57	D01	Queen's Pawn Game: Veresov Attack, Boyce Defense	rnbqkb1r/ppp1pppp/8/3p2B1/3Pn3/2N5/PPP1PPPP/R2QKBNR w KQkq -	d2d4 g8f6 b1c3 d7d5 c1g5 f6e4	1. d2 d4 2. g8 f6 3. b1 c3 4. d7 d5 5. c1 g5 6. f6 e4 
58	D01	Queen's Pawn Game: Veresov Attack, Richter Variation	rn1qkb1r/ppp1pppp/5n2/3p1bB1/3P4/2N2P2/PPP1P1PP/R2QKBNR b KQkq -	d2d4 g8f6 b1c3 d7d5 c1g5 c8f5 f2f3	1. d2 d4 2. g8 f6 3. b1 c3 4. d7 d5 5. c1 g5 6. c8 f5 7. f2 f3 
59	D01	Queen's Pawn Game: Veresov Attack, Two Knights System, Grünfeld Defense	r1bqkb1r/pppnpp1p/5np1/3p2B1/3P4/2N2N2/PPP1PPPP/R2QKB1R w KQkq -	d2d4 g8f6 b1c3 d7d5 c1g5 b8d7 g1f3 g7g6	1. d2 d4 2. g8 f6 3. b1 c3 4. d7 d5 5. c1 g5 6. b8 d7 7. g1 f3 8. g7 g6 
60	D01	Queen's Pawn Game: Veresov Attack, Two Knights System	r1bqkb1r/pppnpppp/5n2/3p2B1/3P4/2N2N2/PPP1PPPP/R2QKB1R b KQkq -	d2d4 g8f6 b1c3 d7d5 c1g5 b8d7 g1f3	1. d2 d4 2. g8 f6 3. b1 c3 4. d7 d5 5. c1 g5 6. b8 d7 7. g1 f3 
61	D01	Queen's Pawn Game: Veresov Attack, Veresov Variation	rn1qkb1r/ppp1pppp/5B2/3p1b2/3P4/2N5/PPP1PPPP/R2QKBNR b KQkq -	d2d4 g8f6 b1c3 d7d5 c1g5 c8f5 g5f6	1. d2 d4 2. g8 f6 3. b1 c3 4. d7 d5 5. c1 g5 6. c8 f5 7. g5 f6 
62	D01	Richter-Veresov Attack	rn1qkb1r/ppp1pppp/5n2/3p1bB1/3P4/2N5/PPP1PPPP/R2QKBNR w KQkq -	d2d4 g8f6 b1c3 d7d5 c1g5 c8f5	1. d2 d4 2. g8 f6 3. b1 c3 4. d7 d5 5. c1 g5 6. c8 f5 
63	D01	Richter-Veresov Attack	rnbqkb1r/ppp1pppp/5n2/3p2B1/3P4/2N5/PPP1PPPP/R2QKBNR b KQkq -	d2d4 g8f6 b1c3 d7d5 c1g5	1. d2 d4 2. g8 f6 3. b1 c3 4. d7 d5 5. c1 g5 
64	D01	Veresov Opening: Malich Gambit	rnbqkb1r/pp2pp1p/5p2/2pP4/4p3/2N5/PPP2PPP/R2QKBNR b KQkq -	d2d4 g8f6 b1c3 d7d5 c1g5 c7c5 g5f6 g7f6 e2e4 d5e4 d4d5	1. d2 d4 2. g8 f6 3. b1 c3 4. d7 d5 5. c1 g5 6. c7 c5 7. g5 f6 8. g7 f6 9. e2 e4 10. d5 e4 11. d4 d5 
65	D02	London System: Poisoned Pawn Variation	rnb1kb1r/pp2pppp/1q3n2/2pp4/3P1B2/2N1PN2/PPP2PPP/R2QKB1R b KQkq -	d2d4 g8f6 g1f3 d7d5 c1f4 c7c5 e2e3 d8b6 b1c3	1. d2 d4 2. g8 f6 3. g1 f3 4. d7 d5 5. c1 f4 6. c7 c5 7. e2 e3 8. d8 b6 9. b1 c3 
66	D02	Queen's Gambit Accepted: Rosenthal Variation	rnbqkbnr/ppp2ppp/4p3/8/2pP4/5N2/PP2PPPP/RNBQKB1R w KQkq -	d2d4 d7d5 g1f3 e7e6 c2c4 d5c4	1. d2 d4 2. d7 d5 3. g1 f3 4. e7 e6 5. c2 c4 6. d5 c4 
67	D02	Queen's Gambit Refused: Baltic Defense, Pseudo-Slav	rn1qkbnr/pp3ppp/2p1p3/3p1b2/2PP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq -	d2d4 d7d5 g1f3 c8f5 c2c4 e7e6 b1c3 c7c6	1. d2 d4 2. d7 d5 3. g1 f3 4. c8 f5 5. c2 c4 6. e7 e6 7. b1 c3 8. c7 c6 
68	D02	Queen's Pawn Game: Anti-Torre	rn1qkbnr/ppp1pppp/8/3p4/3P2b1/5N2/PPP1PPPP/RNBQKB1R w KQkq -	g1f3 d7d5 d2d4 c8g4	1. g1 f3 2. d7 d5 3. d2 d4 4. c8 g4 
69	D02	Queen's Pawn Game: Chandler Gambit	rnbqkbnr/pp2pppp/8/3p4/3p4/5NP1/PPP1PPBP/RNBQK2R b KQkq -	d2d4 d7d5 g1f3 c7c5 g2g3 c5d4 f1g2	1. d2 d4 2. d7 d5 3. g1 f3 4. c7 c5 5. g2 g3 6. c5 d4 7. f1 g2 
70	D02	Queen's Pawn Game: Chigorin Variation	r1bqkbnr/ppp1pppp/2n5/3p4/3P4/5N2/PPP1PPPP/RNBQKB1R w KQkq -	d2d4 d7d5 g1f3 b8c6	1. d2 d4 2. d7 d5 3. g1 f3 4. b8 c6 
71	D02	Queen's Pawn Game: Krause Variation	rnbqkbnr/pp2pppp/8/2pp4/3P4/5N2/PPP1PPPP/RNBQKB1R w KQkq -	d2d4 d7d5 g1f3 c7c5	1. d2 d4 2. d7 d5 3. g1 f3 4. c7 c5 
72	D02	Queen's Pawn Game: Levitsky Attack, Euwe Variation, Modern Line	rnb1kbnr/pp2ppp1/1qp4p/3p4/3P3B/5N2/PPP1PPPP/RN1QKB1R w KQkq -	d2d4 d7d5 g1f3 c7c6 c1g5 h7h6 g5h4 d8b6	1. d2 d4 2. d7 d5 3. g1 f3 4. c7 c6 5. c1 g5 6. h7 h6 7. g5 h4 8. d8 b6 
73	D02	Queen's Pawn Game: London System	rnbqkb1r/ppp1pppp/5n2/3p4/3P1B2/5N2/PPP1PPPP/RN1QKB1R b KQkq -	d2d4 d7d5 g1f3 g8f6 c1f4	1. d2 d4 2. d7 d5 3. g1 f3 4. g8 f6 5. c1 f4 
74	D02	Queen's Pawn Game: Symmetrical Variation, Pseudo-Catalan	rnbqkb1r/ppp1pppp/5n2/3p4/3P4/5NP1/PPP1PP1P/RNBQKB1R b KQkq -	d2d4 d7d5 g1f3 g8f6 g2g3	1. d2 d4 2. d7 d5 3. g1 f3 4. g8 f6 5. g2 g3 
75	D02	Queen's Pawn Game: Symmetrical Variation	rnbqkb1r/ppp1pppp/5n2/3p4/3P4/5N2/PPP1PPPP/RNBQKB1R w KQkq -	d2d4 d7d5 g1f3 g8f6	1. d2 d4 2. d7 d5 3. g1 f3 4. g8 f6 
76	D02	Queen's Pawn Game: Zilbermints Countergambit	rnbqkb1r/p1p1pppp/5n2/1p1p4/2PP4/5N2/PP2PPPP/RNBQKB1R w KQkq -	d2d4 d7d5 g1f3 g8f6 c2c4 b7b5	1. d2 d4 2. d7 d5 3. g1 f3 4. g8 f6 5. c2 c4 6. b7 b5 
77	D02	Queen's Pawn Game: Zukertort Variation	rnbqkbnr/ppp1pppp/8/3p4/3P4/5N2/PPP1PPPP/RNBQKB1R b KQkq -	d2d4 d7d5 g1f3	1. d2 d4 2. d7 d5 3. g1 f3 
78	D03	Queen's Pawn Game: Torre Attack, Gossip Variation	rnbqkb1r/ppp1pppp/8/3p2B1/3Pn3/5N2/PPP1PPPP/RN1QKB1R w KQkq -	d2d4 d7d5 g1f3 g8f6 c1g5 f6e4	1. d2 d4 2. d7 d5 3. g1 f3 4. g8 f6 5. c1 g5 6. f6 e4 
