eco	name	fen	moves
A00	Formation: Hippopotamus Attack	r1bq1rk1/ppp2ppp/2nb1n2/3pp3/8/PPPPPPP1/7P/RNBQKBNR b KQ	a2a3 e7e5 b2b3 d7d5 c2c3 g8f6 d2d3 b8c6 e2e3 f8d6 f2f3 e8g8 g2g3
A00	Formation: Shy Attack	r1bq1rk1/ppp2ppp/2nb1n2/3pp3/8/P2PP1PP/1PPN1PB1/R1BQK1NR b KQ	a2a3 e7e5 g2g3 d7d5 f1g2 g8f6 d2d3 b8c6 b1d2 f8d6 e2e3 e8g8 h2h3
A00	Gedult's Opening	rnbqkbnr/pppppppp/8/8/8/5P2/PPPPP1PP/RNBQKBNR b KQkq	f2f3
A00	Global Opening	rnbqkbnr/pppp1ppp/8/4p3/8/P6P/1PPPPPP1/RNBQKBNR b KQkq	h2h3 e7e5 a2a3
A00	Grob Opening	rnbqkbnr/pppppppp/8/8/6P1/8/PPPPPP1P/RNBQKBNR b KQkq	g2g4
A00	Grob Opening: Alessi Gambit	rnbqkbnr/ppppp1pp/8/5p2/6P1/8/PPPPPP1P/RNBQKBNR w KQkq	g2g4 f7f5
A00	Grob Opening: Double Grob	rnbqkbnr/pppppp1p/8/6p1/6P1/8/PPPPPP1P/RNBQKBNR w KQkq	g2g4 g7g5
A00	Grob Opening: Double Grob, Coca-Cola Gambit	rnbqkbnr/pppppp1p/8/6p1/5PP1/8/PPPPP2P/RNBQKBNR b KQkq	g2g4 g7g5 f2f4
A00	Grob Opening: Grob Gambit	rnbqkbnr/ppp1pppp/8/3p4/6P1/8/PPPPPPBP/RNBQK1NR b KQkq	g2g4 d7d5 f1g2
A00	Grob Opening: Grob Gambit Declined	rnbqkbnr/pp2pppp/2p5/3p4/6P1/8/PPPPPPBP/RNBQK1NR w KQkq	g2g4 d7d5 f1g2 c7c6
A00	Grob Opening: Grob Gambit, Basman Gambit	rnbqkbnr/ppp1ppp1/8/3p3P/8/8/PPPPPPBP/RNBQK1NR b KQkq	g2g4 d7d5 f1g2 h7h5 g4h5
A00	Grob Opening: Grob Gambit, Fritz Gambit	rn1qkbnr/ppp1pppp/8/3p4/2P3b1/8/PP1PPPBP/RNBQK1NR b KQkq	g2g4 d7d5 f1g2 c8g4 c2c4
A00	Grob Opening: Grob Gambit, Fritz Gambit, Romford Countergambit	q3kbnr/p1pnpppp/8/8/2Pp2b1/8/PP1PPP1P/RNBQK1NR w KQk	g2g4 d7d5 f1g2 c8g4 c2c4 d5d4 g2b7 b8d7 b7a8 d8a8
A00	Grob Opening: Grob Gambit, Keres Gambit	rnbqkbnr/ppp2ppp/8/3p4/3p2P1/2P5/PP2PPBP/RNBQK1NR b KQkq	g2g4 d7d5 f1g2 e7e5 d2d4 e5d4 c2c3
A00	Grob Opening: Grob Gambit, Richter-Grob Gambit	rnbqkbnr/pp2pppp/2p5/8/2p3P1/1P6/P2PPPBP/RNBQK1NR b KQkq	g2g4 d7d5 f1g2 c7c6 c2c4 d5c4 b2b3
A00	Grob Opening: Keene Defense	rnbqkbnr/pp3ppp/2p5/3pp3/6P1/7P/PPPPPPB1/RNBQK1NR w KQkq	g2g4 d7d5 h2h3 e7e5 f1g2 c7c6
A00	Grob Opening: Keene Defense, Main Line	rnbqk2r/pp2nppp/2pb4/3p4/2PPp1P1/2N4P/PP2PPB1/R1BQK1NR w KQkq	g2g4 d7d5 h2h3 e7e5 f1g2 c7c6 d2d4 e5e4 c2c4 f8d6 b1c3 g8e7
A00	Grob Opening: London Defense	r1bqkbnr/pppp1ppp/2n5/4p3/6P1/7P/PPPPPP2/RNBQKBNR w KQkq	g2g4 e7e5 h2h3 b8c6
A00	Grob Opening: Romford Countergambit	rn1qkbnr/ppp1pppp/8/8/2Pp2b1/8/PP1PPPBP/RNBQK1NR w KQkq	g2g4 d7d5 f1g2 c8g4 c2c4 d5d4
A00	Grob Opening: Spike Attack	rnbqkbnr/pp2pppp/2p5/3p2P1/8/8/PPPPPPBP/RNBQK1NR b KQkq	g2g4 d7d5 f1g2 c7c6 g4g5
A00	Grob Opening: Spike, Hurst Attack	rnbqkbnr/ppp2ppp/8/3pp3/2P3P1/8/PP1PPPBP/RNBQK1NR b KQkq	g2g4 e7e5 f1g2 d7d5 c2c4
A00	Grob Opening: Zilbermints Gambit	rnbqkbnr/ppp1pppp/8/8/4p1P1/2N5/PPPP1P1P/R1BQKBNR b KQkq	g2g4 d7d5 e2e4 d5e4 b1c3
A00	Grob Opening: Zilbermints Gambit, Schiller Defense	rnbqkbnr/ppp1ppp1/8/7p/4p1P1/2N5/PPPP1P1P/R1BQKBNR w KQkq	g2g4 d7d5 e2e4 d5e4 b1c3 h7h5
A00	Grob Opening: Zilbermints Gambit, Zilbermints-Hartlaub Gambit	rnbqkbnr/ppp2ppp/8/4p3/4p1P1/2NP4/PPP2P1P/R1BQKBNR b KQkq	g2g4 d7d5 e2e4 d5e4 b1c3 e7e5 d2d3
A00	Hungarian Opening	rnbqkbnr/pppppppp/8/8/8/6P1/PPPPPP1P/RNBQKBNR b KQkq	g2g3
A00	Hungarian Opening: Asten Gambit	r1bqkbnr/ppp3pp/2n5/4Pp2/3pN3/6P1/PPP1PP1P/R1BQKBNR w KQkq	g2g3 b8c6 b1c3 d7d5 d2d4 e7e5 d4e5 d5d4 c3e4 f7f5
A00	Hungarian Opening: Bücker Gambit	rnbqkbnr/ppp2ppp/8/3pp3/1P6/6P1/P1PPPPBP/RNBQK1NR b KQkq	g2g3 d7d5 f1g2 e7e5 b2b4
A00	Hungarian Opening: Burk Gambit	rnbqk1nr/ppp1bppp/8/3p4/4p2N/P2P2P1/1PP1PP1P/RNBQKB1R b KQkq	g2g3 e7e5 a2a3 d7d5 g1f3 e5e4 f3h4 f8e7 d2d3
A00	Hungarian Opening: Catalan Formation	rnbqkbnr/ppp2ppp/4p3/3p4/8/6P1/PPPPPPBP/RNBQK1NR w KQkq	g2g3 d7d5 f1g2 e7e6
A00	Hungarian Opening: Dutch Defense	rnbqkbnr/ppppp1pp/8/5p2/8/6P1/PPPPPP1P/RNBQKBNR w KQkq	g2g3 f7f5
A00	Hungarian Opening: Indian Defense	rnbqkb1r/pppppppp/5n2/8/8/6P1/PPPPPP1P/RNBQKBNR w KQkq	g2g3 g8f6
A00	Hungarian Opening: Myers Defense	rnbqkbnr/pppppp1p/8/6p1/8/6P1/PPPPPP1P/RNBQKBNR w KQkq	g2g3 g7g5
A00	Hungarian Opening: Pachman Gambit	rnbqkbnr/ppppp2p/6p1/7Q/4p3/6P1/PPPP1P1P/RNB1KBNR w KQkq	g2g3 f7f5 e2e4 f5e4 d1h5 g7g6
A00	Hungarian Opening: Paris Gambit	rn1qkbnr/ppp2ppp/8/3p4/5p2/6PB/PPPPP2P/RNBQ1RK1 b kq	g2g3 e7e5 g1h3 d7d5 f2f4 c8h3 f1h3 e5f4 e1g1
A00	Hungarian Opening: Reversed Alekhine	rnbqkbnr/pppp1ppp/8/4p3/8/5NP1/PPPPPP1P/RNBQKB1R b KQkq	g2g3 e7e5 g1f3
A00	Hungarian Opening: Reversed Brooklyn Defense, Brooklyn Benko Gambit	rnbqkb1r/pppp1ppp/5n2/8/1P2p3/6P1/P1PPPP1P/RNBQKBNR b KQkq	g2g3 e7e5 g1f3 e5e4 f3g1 g8f6 b2b4
A00	Hungarian Opening: Reversed Modern Defense	rnbqkbnr/pp2pppp/8/2pp4/8/6P1/PPPPPPBP/RNBQK1NR w KQkq	g2g3 d7d5 f1g2 c7c5
A00	Hungarian Opening: Reversed Norwegian Defense	rnbqkbnr/pppp1ppp/8/8/4p2N/6P1/PPPPPP1P/RNBQKB1R b KQkq	g2g3 e7e5 g1f3 e5e4 f3h4
A00	Hungarian Opening: Sicilian Invitation	rnbqkbnr/pp1ppppp/8/2p5/8/6P1/PPPPPP1P/RNBQKBNR w KQkq	g2g3 c7c5
A00	Hungarian Opening: Slav Formation	rnbqkbnr/pp2pppp/2p5/3p4/8/6P1/PPPPPPBP/RNBQK1NR w KQkq	g2g3 d7d5 f1g2 c7c6
A00	Hungarian Opening: Symmetrical Variation	rnbqkbnr/pppppp1p/6p1/8/8/6P1/PPPPPP1P/RNBQKBNR w KQkq	g2g3 g7g6
A00	Hungarian Opening: Van Kuijk Gambit	rnbqkbnr/ppppppp1/8/8/7p/5NP1/PPPPPP1P/RNBQKB1R w KQkq	g2g3 h7h5 g1f3 h5h4
A00	Hungarian Opening: Wiedenhagen-Beta Gambit	rnbqkbnr/ppp1pp1p/8/3p2p1/8/5NP1/PPPPPP1P/RNBQKB1R w KQkq	g2g3 d7d5 g1f3 g7g5
A00	Hungarian Opening: Winterberg Gambit	rnbqkbnr/ppp2ppp/8/4p3/2p5/1P4P1/P2PPPBP/RNBQK1NR b KQkq	g2g3 d7d5 f1g2 e7e5 c2c4 d5c4 b2b3
A00	Kadas Opening	rnbqkbnr/pppppppp/8/8/7P/8/PPPPPPP1/RNBQKBNR b KQkq	h2h4
A00	Kadas Opening: Beginner's Trap	rnbqkbnr/ppp1pppp/8/3p4/7P/7R/PPPPPPP1/RNBQKBN1 b Qkq	h2h4 d7d5 h1h3
A00	Kadas Opening: Kadas Gambit	rnbqkbnr/pp1ppppp/8/2p5/1P5P/8/P1PPPPP1/RNBQKBNR b KQkq	h2h4 c7c5 b2b4
A00	Kadas Opening: Kadas Gambit	rnbqkbnr/pp2pppp/8/3p4/3p3P/2P2N2/PP2PPP1/RNBQKB1R b KQkq	h2h4 d7d5 d2d4 c7c5 g1f3 c5d4 c2c3
A00	Kadas Opening: Kadas Gambit	rnbqkbnr/pppp1ppp/8/8/3p3P/2P5/PP2PPP1/RNBQKBNR b KQkq	h2h4 e7e5 d2d4 e5d4 c2c3
A00	Kadas Opening: Myers Variation	rnbqkbnr/pp2pppp/8/2pp4/3PP2P/8/PPP2PP1/RNBQKBNR b KQkq	h2h4 d7d5 d2d4 c7c5 e2e4
A00	Kadas Opening: Schneider Gambit	rnbqkbnr/pppppp1p/8/6p1/7P/8/PPPPPPP1/RNBQKBNR w KQkq	h2h4 g7g5
A00	Kadas Opening: Steinbok Gambit	rnbqkbnr/ppppp1pp/8/8/4p2P/3P4/PPP2PP1/RNBQKBNR b KQkq	h2h4 f7f5 e2e4 f5e4 d2d3
A00	Lasker Simul Special	rnbqkbnr/ppppppp1/8/7p/8/6P1/PPPPPP1P/RNBQKBNR w KQkq	g2g3 h7h5
A00	Mieses Opening	rnbqkbnr/pppppppp/8/8/8/3P4/PPP1PPPP/RNBQKBNR b KQkq	d2d3
A00	Mieses Opening: Myers Spike Attack	rnbqkbnr/pppppp1p/6p1/8/6P1/3P4/PPP1PP1P/RNBQKBNR b KQkq	d2d3 g7g6 g2g4
A00	Mieses Opening: Reversed Rat	rnbqkbnr/pppp1ppp/8/4p3/8/3P4/PPP1PPPP/RNBQKBNR w KQkq	d2d3 e7e5
A00	Nimzo-Larsen Attack: Graz Attack	rnbqkbnr/ppp1pppp/8/3p4/8/BP6/P1PPPPPP/RN1QKBNR b KQkq	b2b3 d7d5 c1a3
A00	Polish Opening	rnbqkbnr/pppppppp/8/8/1P6/8/P1PPPPPP/RNBQKBNR b KQkq	b2b4
A00	Polish Opening: Baltic Defense	rn1qkbnr/ppp1pppp/8/3p1b2/1P6/8/PBPPPPPP/RN1QKBNR w KQkq	b2b4 d7d5 c1b2 c8f5
A00	Polish Opening: Birmingham Gambit	rnbqkbnr/pp1ppppp/8/2p5/1P6/8/P1PPPPPP/RNBQKBNR w KQkq	b2b4 c7c5
A00	Polish Opening: Bugayev Advance Variation	rnbqkbnr/pppp2pp/5p2/1P2p3/8/8/PBPPPPPP/RN1QKBNR b KQkq	b2b4 e7e5 c1b2 f7f6 b4b5
A00	Polish Opening: Bugayev Attack	rnbqkbnr/pppp1ppp/8/4p3/1P6/P7/2PPPPPP/RNBQKBNR b KQkq	b2b4 e7e5 a2a3
A00	Polish Opening: Czech Defense	rnbqkbnr/ppp2ppp/3p4/4p3/1P6/8/PBPPPPPP/RN1QKBNR w KQkq	b2b4 e7e5 c1b2 d7d6
A00	Polish Opening: Dutch Defense	rnbqkbnr/ppppp1pp/8/5p2/1P6/8/P1PPPPPP/RNBQKBNR w KQkq	b2b4 f7f5
A00	Polish Opening: German Defense	rnb1kbnr/ppp1pppp/3q4/3p4/1P6/8/PBPPPPPP/RN1QKBNR w KQkq	b2b4 d7d5 c1b2 d8d6
A00	Polish Opening: Grigorian Variation	r1bqkbnr/pppppppp/2n5/8/1P6/8/P1PPPPPP/RNBQKBNR w KQkq	b2b4 b8c6
A00	Polish Opening: Karniewski Variation	rnbqkb1r/pppppppp/7n/8/1P6/8/P1PPPPPP/RNBQKBNR w KQkq	b2b4 g8h6
A00	Polish Opening: King's Indian Variation	rnbqkb1r/pppppp1p/5np1/8/1P6/8/PBPPPPPP/RN1QKBNR w KQkq	b2b4 g8f6 c1b2 g7g6
A00	Polish Opening: King's Indian Variation, Schiffler Attack	rnbqkb1r/pppppp1p/5np1/8/1P2P3/8/PBPP1PPP/RN1QKBNR b KQkq	b2b4 g8f6 c1b2 g7g6 e2e4
A00	Polish Opening: King's Indian Variation, Sokolsky Attack	rnbq1rk1/ppp1ppbp/3p1np1/8/1PPP4/4PN2/PB3PPP/RN1QKB1R b KQ	g1f3 g8f6 c2c4 g7g6 b2b4 f8g7 c1b2 e8g8 e2e3 d7d6 d2d4
A00	Polish Opening: Myers Variation	rnbqkbnr/pp2pppp/2p5/3p4/PP6/8/1BPPPPPP/RN1QKBNR b KQkq	b2b4 d7d5 c1b2 c7c6 a2a4
A00	Polish Opening: Orangutan-Diemer Gambit	rnb1kbnr/ppp2ppp/3q4/4p3/1P2p3/P4P2/1BPP2PP/RN1QKBNR b KQkq	b2b4 d7d5 c1b2 d8d6 a2a3 e7e5 e2e4 d5e4 f2f3
A00	Polish Opening: Orangutan-Hartlaub Gambit	rnbqkb1r/1p3ppp/2p1pn2/P2p4/4P3/P2P4/1BP2PPP/RN1QKBNR b KQkq	b2b4 g8f6 c1b2 e7e6 a2a3 c7c6 d2d3 a7a5 b4a5 d7d5 e2e4
A00	Polish Opening: Outflank Variation	rnbqkbnr/pp1ppppp/2p5/8/1P6/8/P1PPPPPP/RNBQKBNR w KQkq	b2b4 c7c6
A00	Polish Opening: Queen's Indian Variation	rnbqkb1r/p1pp1ppp/1p2pn2/1P6/8/8/PBPPPPPP/RN1QKBNR w KQkq	b2b4 e7e6 c1b2 g8f6 b4b5 b7b6
A00	Polish Opening: Queenside Defense	rnbqkb1r/1ppp1ppp/p3pn2/1P6/8/8/PBPPPPPP/RN1QKBNR w KQkq	b2b4 e7e6 c1b2 g8f6 b4b5 a7a6
A00	Polish Opening: Rooks Swap Line	1nbqkb1r/1ppp1ppp/4pn2/1P6/8/8/2PPPPPP/BN1QKBNR b Kk	b2b4 e7e6 c1b2 g8f6 b4b5 a7a6 a2a4 a6b5 a4b5 a8a1 b2a1
A00	Polish Opening: Schiffler-Sokolsky Variation	rnbqkb1r/ppp2ppp/4pn2/1P1p4/8/4P3/PBPP1PPP/RN1QKBNR b KQkq	b2b4 e7e6 c1b2 g8f6 b4b5 d7d5 e2e3
A00	Polish Opening: Schuehler Gambit	rnbqkbnr/1p1ppppp/8/pp6/4P3/8/PBPP1PPP/RN1QKBNR b KQkq	b2b4 c7c6 c1b2 a7a5 b4b5 c6b5 e2e4
A00	Polish Opening: Symmetrical Variation	rnbqkbnr/p1pppppp/8/1p6/1P6/8/P1PPPPPP/RNBQKBNR w KQkq	b2b4 b7b5
A00	Polish Opening: Tartakower Gambit	rnbqkbnr/pppp2pp/5p2/4p3/1P2P3/8/PBPP1PPP/RN1QKBNR b KQkq	b2b4 e7e5 c1b2 f7f6 e2e4
A00	Polish Opening: Tartakower Gambit, Brinckmann Variation	r1b1k1nr/ppppq2p/2n2pp1/4pP2/1bB1P3/8/PBPP2PP/RN1QK1NR w KQkq	b2b4 e7e5 c1b2 f7f6 e2e4 f8b4 f1c4 b8c6 f2f4 d8e7 f4f5 g7g6
A00	Polish Opening: Wolferts Gambit	rnbqkbnr/pp1p1ppp/8/2p1p3/1P6/8/PBPPPPPP/RN1QKBNR w KQkq	b2b4 e7e5 c1b2 c7c5
A00	Saragossa Opening	rnbqkbnr/pppppppp/8/8/8/2P5/PP1PPPPP/RNBQKBNR b KQkq	c2c3
A00	Sodium Attack	rnbqkbnr/pppppppp/8/8/8/N7/PPPPPPPP/R1BQKBNR b KQkq	b1a3
A00	Sodium Attack: Celadon Variation	rnbqk1nr/pp3ppp/8/2ppp3/8/P2PP3/P1P2PPP/1RBQKBNR b Kkq	b1a3 e7e5 d2d3 f8a3 b2a3 d7d5 e2e3 c7c5 a1b1
A00	Sodium Attack: Chenoboskion Variation	rnbqkbnr/pppppp1p/6p1/8/6P1/N7/PPPPPP1P/R1BQKBNR b KQkq	b1a3 g7g6 g2g4
A00	Sodium Attack: Durkin Gambit	r1bqkbnr/pppp2pp/2n5/4pp2/2N1P3/8/PPPP1PPP/R1BQKBNR w KQkq	b1a3 e7e5 a3c4 b8c6 e2e4 f7f5
A00	Valencia Opening	rnbqkbnr/pppp1ppp/8/4p3/8/3P4/PPPNPPPP/R1BQKBNR b KQkq	d2d3 e7e5 b1d2
A00	Van Geet Opening	rnbqkbnr/pppppppp/8/8/8/2N5/PPPPPPPP/R1BQKBNR b KQkq	b1c3
A00	Van Geet Opening: Battambang Variation	rnbqkbnr/pppp1ppp/8/4p3/8/P1N5/1PPPPPPP/R1BQKBNR b KQkq	a2a3 e7e5 b1c3
A00	Van Geet Opening: Berlin Gambit	r1bqkbnr/ppp1pppp/2n5/3P4/4p3/2N5/PPP2PPP/R1BQKBNR b KQkq	e2e4 b8c6 d2d4 d7d5 b1c3 d5e4 d4d5
A00	Van Geet Opening: Billockus-Johansen Gambit	rnbqk1nr/pppp1ppp/8/2b1p3/8/2N2N2/PPPPPPPP/R1BQKB1R w KQkq	b1c3 e7e5 g1f3 f8c5
A00	Van Geet Opening: Damhaug Gambit	rnbqkbnr/ppp2ppp/8/3pp3/5P2/2N5/PPPPP1PP/R1BQKBNR w KQkq	b1c3 d7d5 f2f4 e7e5
A00	Van Geet Opening: Dougherty Gambit	rnbqkbnr/ppp1pppp/8/8/4p3/2N2P2/PPPP2PP/R1BQKBNR b KQkq	b1c3 d7d5 e2e4 d5e4 f2f3
A00	Van Geet Opening: Düsseldorf Gambit	rnbqkbnr/pp1ppppp/8/2p5/1P6/2N5/P1PPPPPP/R1BQKBNR b KQkq	b1c3 c7c5 b2b4
A00	Van Geet Opening: Dunst-Perrenet Gambit	rnbqkbnr/ppp1pppp/8/8/4p3/2NP4/PPP2PPP/R1BQKBNR b KQkq	b1c3 d7d5 e2e4 d5e4 d2d3
A00	Van Geet Opening: Gladbacher Gambit	rnbqkbnr/ppp2ppp/8/4p3/4p3/1PNP4/P1P2PPP/R1BQKBNR b KQkq	b1c3 e7e5 b2b3 d7d5 e2e4 d5e4 d2d3
A00	Van Geet Opening: Grünfeld Defense	rnbqkbnr/ppp2ppp/8/4p3/4N3/8/PPPP1PPP/R1BQKBNR w KQkq	e2e4 d7d5 b1c3 d5e4 c3e4 e7e5
A00	Van Geet Opening: Grünfeld Defense, Steiner Gambit	rnbqkbnr/ppp2ppp/8/4p3/4NP2/8/PPPP2PP/R1BQKBNR b KQkq	e2e4 e7e5 f2f4 d7d5 b1c3 d5e4 c3e4
A00	Van Geet Opening: Hector Gambit	rnbqkbnr/ppp1pppp/8/8/2B1p3/2N5/PPPP1PPP/R1BQK1NR b KQkq	b1c3 d7d5 e2e4 d5e4 f1c4
A00	Van Geet Opening: Hergert Gambit	r1bqkbnr/ppp2ppp/2np4/4P3/8/2N5/PPPPP1PP/R1BQKBNR w KQkq	b1c3 d7d6 f2f4 e7e5 f4e5 b8c6
A00	Van Geet Opening: Hulsemann Gambit	rn1qkbnr/ppp2ppp/4b3/3pp2Q/8/2N1P3/PPPP1PPP/R1B1KBNR w KQkq	b1c3 e7e5 e2e3 d7d5 d1h5 c8e6
A00	Van Geet Opening: Jendrossek Gambit	rnbqkb1r/pp2p1pp/5n2/2p2p2/1P1p1P2/5N2/P1PPPNPP/R1BQKB1R b KQkq	b1c3 d7d5 f2f4 d5d4 c3e4 f7f5 e4f2 g8f6 g1f3 c7c5 b2b4
A00	Van Geet Opening: Kluever Gambit	rnbqkbnr/ppppp1pp/8/8/4p3/2NP4/PPP2PPP/R1BQKBNR b KQkq	b1c3 f7f5 e2e4 f5e4 d2d3
A00	Van Geet Opening: Laroche Gambit	rnbqkbnr/p1pppppp/8/1p6/8/2N5/PPPPPPPP/R1BQKBNR w KQkq	b1c3 b7b5
A00	Van Geet Opening: Liebig Gambit	rnbqkb1r/ppp2ppp/5n2/3pp2Q/8/2N1P3/PPPP1PPP/R1B1KBNR w KQkq	b1c3 e7e5 e2e3 d7d5 d1h5 g8f6
A00	Van Geet Opening: Melleby Gambit	rnbqkbnr/pp2pppp/8/2p5/3pNP2/8/PPPPP1PP/R1BQKBNR w KQkq	b1c3 d7d5 f2f4 d5d4 c3e4 c7c5
A00	Van Geet Opening: Myers Attack	rnbqkbnr/pppppp1p/6p1/8/7P/2N5/PPPPPPP1/R1BQKBNR b KQkq	b1c3 g7g6 h2h4
A00	Van Geet Opening: Napoleon Attack	r1bqkbnr/pppp1ppp/2n5/4p3/3P4/2N2N2/PPP1PPPP/R1BQKB1R b KQkq	b1c3 e7e5 g1f3 b8c6 d2d4
A00	Van Geet Opening: Novosibirsk Variation	r1bqkbnr/pp1ppppp/2n5/8/7Q/2N5/PPP1PPPP/R1B1KBNR b KQkq	b1c3 c7c5 d2d4 c5d4 d1d4 b8c6 d4h4
A00	Van Geet Opening: Nowokunski Gambit	rnbqkbnr/pppp1ppp/8/8/4Pp2/2N5/PPPP2PP/R1BQKBNR b KQkq	e2e4 e7e5 f2f4 e5f4 b1c3
A00	Van Geet Opening: Pfeiffer Gambit	rnbqkbnr/ppp2ppp/8/4p3/3pNP2/8/PPPPP1PP/R1BQKBNR w KQkq	b1c3 d7d5 f2f4 d5d4 c3e4 e7e5
A00	Van Geet Opening: Pfeiffer Gambit, Sleipnir Countergambit	rnbqkbnr/ppp2ppp/8/4p3/3pNP2/5N2/PPPPP1PP/R1BQKB1R b KQkq	b1c3 d7d5 f2f4 d5d4 c3e4 e7e5 g1f3
A00	Van Geet Opening: Reversed Nimzowitsch	rnbqkbnr/pppp1ppp/8/4p3/8/2N5/PPPPPPPP/R1BQKBNR w KQkq	b1c3 e7e5
A00	Van Geet Opening: Reversed Scandinavian	r1bqkbnr/pppp1ppp/2n5/8/Q7/2N5/PPP1PPPP/R1B1KBNR b KQkq	b1c3 e7e5 d2d4 e5d4 d1d4 b8c6 d4a4
A00	Van Geet Opening: Sicilian Two Knights	r1bqkbnr/pp1ppppp/2n5/8/3N4/2N5/PPP1PPPP/R1BQKB1R b KQkq	b1c3 c7c5 g1f3 b8c6 d2d4 c5d4 f3d4
A00	Van Geet Opening: Sleipnir Gambit	rnbqk1nr/ppp2ppp/8/3pp3/1b1P4/2N1P3/PPP2PPP/R1BQKBNR w KQkq	b1c3 d7d5 e2e3 e7e5 d2d4 f8b4
A00	Van Geet Opening: Tübingen Gambit	rnbqkb1r/pppppppp/5n2/8/6P1/2N5/PPPPPP1P/R1BQKBNR b KQkq	b1c3 g8f6 g2g4
A00	Van Geet Opening: Twyble Attack	rnbqkbnr/pp1ppppp/8/2p5/8/2N5/PPPPPPPP/1RBQKBNR b Kkq	b1c3 c7c5 a1b1
A00	Van Geet Opening: Venezolana Variation	rnbqkb1r/ppp1pppp/5n2/3p4/8/2NP2P1/PPP1PP1P/R1BQKBNR b KQkq	b1c3 d7d5 d2d3 g8f6 g2g3
A00	Van Geet Opening: Warsteiner Gambit	rnbqkbnr/ppp1pp1p/8/3p2p1/5P2/2N5/PPPPP1PP/R1BQKBNR w KQkq	b1c3 d7d5 f2f4 g7g5
A00	Van't Kruijs Opening	rnbqkbnr/pppppppp/8/8/8/4P3/PPPP1PPP/RNBQKBNR b KQkq	e2e3
A00	Van't Kruijs Opening: Bouncing Bishop Variation	rnbqkbnr/p1pp1ppp/8/1p2p3/8/1B2P3/PPPP1PPP/RNBQK1NR b KQkq	e2e3 e7e5 f1c4 b7b5 c4b3
